Municipality,TPC_2011,TPC_2012,TPC_2013,TPC_2014
OLD LYME,2680.975748,7533.00,6059.00,6982.00
OLD SAYBROOK,1996.168826,4125.00,4140.00,4647.00
ORANGE,2524.181081,5392.00,5559.00,5726.00
OXFORD,1615.780287,3888.00,3915.00,4111.00
PLAINFIELD,597.2810853,1440.00,1495.00,1575.00
PLAINVILLE,975.5255499,2110.00,2148.00,2258.00
PLYMOUTH,940.9560358,2139.00,2169.00,2281.00
POMFRET,1289.217658,3220.00,3184.00,3348.00
PORTLAND,1499.478174,3550.00,3533.00,3720.00
PRESTON,1073.21268,2522.00,2558.00,2545.00
PROSPECT,1366.999148,3040.00,3115.00,3295.00
PUTNAM,520.3997072,1274.00,1272.00,1321.00
REDDING,3955.754811,10490.00,8305.00,9053.00
RIDGEFIELD,4121.360739,11150.00,9810.00,10075.00
ROCKY HILL,1601.024692,3434.00,3476.00,3625.00
ROXBURY,3286.63406,6504.00,7278.00,7888.00
SALEM,1675.866248,3977.00,4007.00,4086.00
SALISBURY,1657.841935,4377.00,3857.00,4210.00
SCOTLAND,368.5569106,1792.00,2084.00,2181.00
SEYMOUR,1115.523616,2548.00,2622.00,2694.00
SHARON,2192.289226,5590.00,6622.00,8478.00
SHELTON,1469.653977,3284.00,3298.00,3456.00
SHERMAN,1635.03759,3986.00,3883.00,4148.00
SIMSBURY,2968.947807,7197.00,7098.00,7594.00
SOMERS,1301.357824,4035.00,3794.00,3888.00
SOUTH WINDSOR,1779.030938,,,
SOUTHBURY,1977.945252,,,
SOUTHINGTON,1458.877132,,,
SPRAGUE,907.5402955,1833.00,1917.00,2006.00
STAFFORD,842.4213055,1762.00,2037.00,2187.00
STAMFORD,1847.761423,4309.00,5088.00,5164.00
STERLING,526.560733,1472.00,1569.00,1670.00
STONINGTON,2300.851237,3753.00,3801.00,4005.00
STRATFORD,1036.020154,2350.00,2373.00,2440.00
SUFFIELD,1551.922461,4282.00,4225.00,4566.00
THOMASTON,1004.032661,2308.00,2379.00,2449.00
THOMPSON,471.3080021,1539.00,1155.00,1235.00
TOLLAND,1811.868738,4537.00,4368.00,4677.00
TORRINGTON,755.6959106,1834.00,1787.00,1817.00
TRUMBULL,1884.698675,4743.00,4655.00,4954.00
UNION,1062.107855,2580.00,3051.00,3314.00
VERNON,1132.266481,2290.00,2330.00,2401.00
VOLUNTOWN,908.2468233,1893.00,1936.00,2079.00
WALLINGFORD,1338.644312,3059.00,3002.00,3124.00
WARREN,837.9070888,2778.00,4201.00,4248.00
WASHINGTON,2582.223784,7541.00,6734.00,7847.00
WATERBURY,451.5863652,1135.00,1110.00,1132.00
WATERFORD,1383.833958,3030.00,3055.00,3210.00
WATERTOWN,1215.475712,2829.00,2871.00,2990.00
WEST HARTFORD,2164.521234,,,
WEST HAVEN,653.0425402,,,
WESTBROOK,1372.571757,,,
WESTON,5559.443342,15545.00,15552.00,15180.00
WESTPORT,7681.413303,18290.00,15781.00,18848.00
COLEBROOK,704.4634146,3917.00,3533.00,3542.00
COLUMBIA,1491.12872,3425.00,3255.00,3405.00
CORNWALL,1859.271955,4358.00,3526.00,4397.00
COVENTRY,1309.891126,3025.00,3167.00,3219.00
CROMWELL,1687.664601,3642.00,3698.00,3904.00
DANBURY,765.7143294,1898.00,1885.00,1938.00
DARIEN,6678.210009,19676.00,20305.00,23156.00
DEEP RIVER,1490.450097,3756.00,3645.00,4246.00
DERBY,783.276277,1864.00,1871.00,1942.00
DURHAM,2076.703364,5173.00,5421.00,5626.00
EAST GRANBY,1650.062694,,,
EAST HADDAM,1290.76897,,,
EAST HAMPTON,1554.805759,,,
EAST HARTFORD,601.7239389,,,
EAST HAVEN,887.4944024,,,
EAST LYME,1512.873091,,,
EAST WINDSOR,1028.456938,,,
EASTFORD,948.7752294,,,
EASTON,4116.466023,,,
ELLINGTON,1492.735015,3709.00,3614.00,4066.00
ENFIELD,797.4470975,1926.00,1925.00,2022.00
WOODBURY,2055.29178,4731.00,4484.00,4702.00
WOODSTOCK,1082.48798,2628.00,2581.00,2764.00
ANDOVER,1396.725288,3158.00,3371.00,3558.00
ANSONIA,669.0966752,1595.00,1599.00,1661.00
ASHFORD,1142.689343,2562.00,2475.00,2655.00
AVON,3991.739855,10024.00,9461.00,9421.00
BARKHAMSTED,1863.240466,2986.00,2842.00,3141.00
BEACON FALLS,1131.221265,2595.00,2660.00,2749.00
BERLIN,1581.84709,3523.00,3500.00,3659.00
BETHANY,2338.889809,5515.00,5562.00,5479.00
BETHEL,1211.275158,2844.00,2858.00,2940.00
BETHLEHEM,1373.203291,3173.00,3318.00,3313.00
BLOOMFIELD,1422.225344,3087.00,3012.00,3203.00
BOLTON,1803.45195,4075.00,4145.00,4217.00
BOZRAH,1091.416476,2518.00,2601.00,2847.00
BRANFORD,1844.675554,3746.00,3773.00,3975.00
BRIDGEPORT,356.3957346,951.00,938.00,966.00
