Town/County,Year,Industry Name,Measure Type,Value
Andover,2014,Local/Municipal Government,US Dollars,42601.073746
Andover,2014,Construction,US Dollars,55289.837838
Andover,2014,Manufacturing,US Dollars,-9999
Andover,2014,Retail Trade,US Dollars,-9999
Andover,2014,Administrative & Waste Management,US Dollars,15536.023881
Andover,2014,Health Care & Social Assistance,US Dollars,26572.271845
Ansonia,2014,Local/Municipal Government,US Dollars,47591.118106
Ansonia,2014,Construction,US Dollars,46185.290883
Ansonia,2014,Manufacturing,US Dollars,61250.151224
Ansonia,2014,Retail Trade,US Dollars,26351.786186
Ansonia,2014,Health Care & Social Assistance,US Dollars,46079.49614
Ansonia,2014,Accommodation And Food Services,US Dollars,18339.160248
Ashford,2014,Local/Municipal Government,US Dollars,38702.970492
Ashford,2014,Construction,US Dollars,37754.92437
Ashford,2014,Manufacturing,US Dollars,41639.968831
Ashford,2014,Retail Trade,US Dollars,40729.42623
Ashford,2014,Administrative & Waste Management,US Dollars,15203.128028
Ashford,2014,Other Services (Except Public Admin),US Dollars,12572.759725
Avon,2014,Local/Municipal Government,US Dollars,59341.202816
Avon,2014,Construction,US Dollars,71911.873578
Avon,2014,Manufacturing,US Dollars,71523.599025
Avon,2014,Retail Trade,US Dollars,25111.425109
Avon,2014,Health Care & Social Assistance,US Dollars,38152.102515
Avon,2014,Accommodation And Food Services,US Dollars,18751.201485
Barkhamsted,2014,Local/Municipal Government,US Dollars,56099.039301
Barkhamsted,2014,Construction,US Dollars,45499.696793
Barkhamsted,2014,Manufacturing,US Dollars,60708.572146
Barkhamsted,2014,Retail Trade,US Dollars,33346.971429
Barkhamsted,2014,Accommodation And Food Services,US Dollars,11472.430279
Beacon Falls,2014,Local/Municipal Government,US Dollars,49563.740648
Beacon Falls,2014,State Government,US Dollars,56668.655738
Beacon Falls,2014,Construction,US Dollars,44678.387001
Beacon Falls,2014,Manufacturing,US Dollars,48828.332208
Beacon Falls,2014,Wholesale Trade,US Dollars,77434.695397
Beacon Falls,2014,Retail Trade,US Dollars,22002.43038
Berlin,2014,Local/Municipal Government,US Dollars,52990.955227
Berlin,2014,Construction,US Dollars,69044.500484
Berlin,2014,Manufacturing,US Dollars,66681.554284
Berlin,2014,Wholesale Trade,US Dollars,69505.663685
Berlin,2014,Retail Trade,US Dollars,29279.51799
Berlin,2014,Health Care & Social Assistance,US Dollars,32318.020401
Bethany,2014,Local/Municipal Government,US Dollars,48185.633588
Bethany,2014,Construction,US Dollars,42522.437432
Bethany,2014,Manufacturing,US Dollars,79505.70297
Bethany,2014,Retail Trade,US Dollars,20846.168421
Bethany,2014,Health Care & Social Assistance,US Dollars,23904.768
Bethel,2014,Local/Municipal Government,US Dollars,55587.705298
Bethel,2014,Construction,US Dollars,56254.874332
Bethel,2014,Manufacturing,US Dollars,68985.321466
Bethel,2014,Retail Trade,US Dollars,32499.071517
Bethel,2014,Health Care & Social Assistance,US Dollars,33868.293269
Bethel,2014,Accommodation And Food Services,US Dollars,17141.645963
Bethlehem,2014,Local/Municipal Government,US Dollars,39289.3213
Bethlehem,2014,Construction,US Dollars,45946.929368
Bethlehem,2014,Manufacturing,US Dollars,-9999
Bethlehem,2014,Retail Trade,US Dollars,19064.565295
Bethlehem,2014,Health Care & Social Assistance,US Dollars,35413.331606
Bethlehem,2014,Other Services (Except Public Admin),US Dollars,28982.453731
Bloomfield,2014,Construction,US Dollars,68923.327284
Bloomfield,2014,Manufacturing,US Dollars,70294.943043
Bloomfield,2014,Retail Trade,US Dollars,26203.64911
Bloomfield,2014,Transportation & Warehousing,US Dollars,42026.250944
Bloomfield,2014,Finance And Insurance,US Dollars,133962.51165
Bloomfield,2014,Health Care & Social Assistance,US Dollars,44988.924049
Bolton,2014,Local/Municipal Government,US Dollars,43842.17214
Bolton,2014,Construction,US Dollars,60766.757396
Bolton,2014,Manufacturing,US Dollars,45768.990163
Bolton,2014,Retail Trade,US Dollars,30933.189671
Bolton,2014,Administrative & Waste Management,US Dollars,34718.767347
Bolton,2014,Health Care & Social Assistance,US Dollars,31590.452648
Bozrah,2014,Local/Municipal Government,US Dollars,39933.740864
Bozrah,2014,Construction,US Dollars,37751.546875
Bozrah,2014,Manufacturing,US Dollars,48457.44427
Bozrah,2014,Wholesale Trade,US Dollars,46009.987952
Bozrah,2014,Retail Trade,US Dollars,24181.717352
Bozrah,2014,Health Care & Social Assistance,US Dollars,18240.159292
Branford,2014,Local/Municipal Government,US Dollars,54975.828885
Branford,2014,Construction,US Dollars,64988.414675
Branford,2014,Manufacturing,US Dollars,59939.576397
Branford,2014,Retail Trade,US Dollars,33317.400335
Branford,2014,Health Care & Social Assistance,US Dollars,36196.278008
Branford,2014,Accommodation And Food Services,US Dollars,17738.558393
Bridgeport,2014,Local/Municipal Government,US Dollars,62949.649003
